id,split,label,pair,image
N001,train,regular,1,nuclei/N001.svg
N002,train,irregular,1,nuclei/N002.svg
N003,train,regular,2,nuclei/N003.svg
N004,train,irregular,2,nuclei/N004.svg
N005,train,regular,3,nuclei/N005.svg
N006,train,irregular,3,nuclei/N006.svg
N007,train,regular,4,nuclei/N007.svg
N008,train,irregular,4,nuclei/N008.svg
N009,train,regular,5,nuclei/N009.svg
N010,train,irregular,5,nuclei/N010.svg
N011,train,regular,6,nuclei/N011.svg
N012,train,irregular,6,nuclei/N012.svg
N013,train,regular,7,nuclei/N013.svg
N014,train,irregular,7,nuclei/N014.svg
N015,train,regular,8,nuclei/N015.svg
N016,train,irregular,8,nuclei/N016.svg
N017,train,regular,9,nuclei/N017.svg
N018,train,irregular,9,nuclei/N018.svg
N019,train,regular,10,nuclei/N019.svg
N020,train,irregular,10,nuclei/N020.svg
N021,train,regular,11,nuclei/N021.svg
N022,train,irregular,11,nuclei/N022.svg
N023,train,regular,12,nuclei/N023.svg
N024,train,irregular,12,nuclei/N024.svg
N025,train,regular,13,nuclei/N025.svg
N026,train,irregular,13,nuclei/N026.svg
N027,train,regular,14,nuclei/N027.svg
N028,train,irregular,14,nuclei/N028.svg
N029,train,regular,15,nuclei/N029.svg
N030,train,irregular,15,nuclei/N030.svg
N031,train,regular,16,nuclei/N031.svg
N032,train,irregular,16,nuclei/N032.svg
N033,train,regular,17,nuclei/N033.svg
N034,train,irregular,17,nuclei/N034.svg
N035,train,regular,18,nuclei/N035.svg
N036,train,irregular,18,nuclei/N036.svg
N037,train,regular,19,nuclei/N037.svg
N038,train,irregular,19,nuclei/N038.svg
N039,train,regular,20,nuclei/N039.svg
N040,train,irregular,20,nuclei/N040.svg
N041,train,regular,21,nuclei/N041.svg
N042,train,irregular,21,nuclei/N042.svg
N043,train,regular,22,nuclei/N043.svg
N044,train,irregular,22,nuclei/N044.svg
N045,train,regular,23,nuclei/N045.svg
N046,train,irregular,23,nuclei/N046.svg
N047,train,regular,24,nuclei/N047.svg
N048,train,irregular,24,nuclei/N048.svg
N049,train,regular,25,nuclei/N049.svg
N050,train,irregular,25,nuclei/N050.svg
N051,train,regular,26,nuclei/N051.svg
N052,train,irregular,26,nuclei/N052.svg
N053,train,regular,27,nuclei/N053.svg
N054,train,irregular,27,nuclei/N054.svg
N055,train,regular,28,nuclei/N055.svg
N056,train,irregular,28,nuclei/N056.svg
N057,train,regular,29,nuclei/N057.svg
N058,train,irregular,29,nuclei/N058.svg
N059,train,regular,30,nuclei/N059.svg
N060,train,irregular,30,nuclei/N060.svg
N061,train,regular,31,nuclei/N061.svg
N062,train,irregular,31,nuclei/N062.svg
N063,train,regular,32,nuclei/N063.svg
N064,train,irregular,32,nuclei/N064.svg
N065,train,regular,33,nuclei/N065.svg
N066,train,irregular,33,nuclei/N066.svg
N067,train,regular,34,nuclei/N067.svg
N068,train,irregular,34,nuclei/N068.svg
N069,train,regular,35,nuclei/N069.svg
N070,train,irregular,35,nuclei/N070.svg
N071,train,regular,36,nuclei/N071.svg
N072,train,irregular,36,nuclei/N072.svg
N073,train,regular,37,nuclei/N073.svg
N074,train,irregular,37,nuclei/N074.svg
N075,train,regular,38,nuclei/N075.svg
N076,train,irregular,38,nuclei/N076.svg
N077,train,regular,39,nuclei/N077.svg
N078,train,irregular,39,nuclei/N078.svg
N079,train,regular,40,nuclei/N079.svg
N080,train,irregular,40,nuclei/N080.svg
N081,test,regular,41,nuclei/N081.svg
N082,test,irregular,41,nuclei/N082.svg
N083,test,regular,42,nuclei/N083.svg
N084,test,irregular,42,nuclei/N084.svg
N085,test,regular,43,nuclei/N085.svg
N086,test,irregular,43,nuclei/N086.svg
N087,test,regular,44,nuclei/N087.svg
N088,test,irregular,44,nuclei/N088.svg
N089,test,regular,45,nuclei/N089.svg
N090,test,irregular,45,nuclei/N090.svg
N091,test,regular,46,nuclei/N091.svg
N092,test,irregular,46,nuclei/N092.svg
N093,test,regular,47,nuclei/N093.svg
N094,test,irregular,47,nuclei/N094.svg
N095,test,regular,48,nuclei/N095.svg
N096,test,irregular,48,nuclei/N096.svg
N097,test,regular,49,nuclei/N097.svg
N098,test,irregular,49,nuclei/N098.svg
N099,test,regular,50,nuclei/N099.svg
N100,test,irregular,50,nuclei/N100.svg
